u,v,length
42422016,42431057,78.857
42422018,42438052,90.33500000000001
42422018,42437058,90.475
42422026,246858433,108.21200000000002
42422026,42437401,173.424
42422026,889298452,30.935
42422028,42453395,305.112
42422028,246858433,25.312
42422038,42438155,86.882
42422038,42422042,106.88999999999999
42422042,42422038,106.88999999999999
42422042,42422050,117.527
42422042,42428374,46.185
42422050,42422053,136.389
42422050,42454795,63.239000000000004
42422053,6262915548,88.095
42422053,42448583,37.152
42422086,42422110,72.391
42422086,3931524260,56.54
42422110,42422168,80.472
42422168,371225132,358.05400000000003
42422258,42430589,85.68100000000001
42422270,278608420,341.47599999999994
42422270,42451465,866.951
42422283,5378284711,105.235
42422283,42433229,101.19
42422283,4158673495,158.859
42422283,278609934,15.532
42422399,42458435,1005.2769999999999
42422449,371225132,260.646
42422509,42457925,97.88799999999999
42422592,7912855687,18.782
42422592,42428072,88.02000000000001
42422592,42421778,87.48
42422592,42431019,142.72199999999998
42422899,42454010,77.79799999999999
42422899,42449689,146.941
42423020,42454495,61.999
42423020,42434965,79.47600000000001
42423020,11942111840,20.604
42423039,42450820,71.337
42423051,42454391,29.703
42423051,370894980,274.357
42423070,7912855687,275.96600000000007
42423070,42422399,544.4730000000001
42423101,42446331,141.016
42423101,42436806,84.377
42423101,42442723,86.007
42423116,595481001,44.358
42423116,42442728,77.96300000000001
42423170,42423203,68.40299999999999
42423170,42423189,90.931
42423189,42434134,14.631
42423189,42426135,82.49499999999999
42423203,42422168,76.472
42423203,371239962,195.0
42423203,42443116,16.05
42423295,9906966855,21.108
42423295,42437786,176.224
42423296,370888100,271.057
42423307,370892861,732.3910000000001
42423456,4602414021,3.421
42423456,42423514,116.861
42423549,42451712,114.753
42423549,42423039,530.577
42423564,42423565,84.96600000000001
42423564,2711029280,153.064
42423564,42432861,76.82000000000001
42423565,42456041,151.16400000000002
42423565,3785586748,46.135999999999996
42423579,1775201764,252.512
42423579,1775176474,246.57299999999998
42423674,4347550074,164.867
42423674,42430394,273.09
42423674,42440025,83.08900000000001
42423752,42456049,135.391
